category,company,n_reviews,median_stars,media_stars,std_stars
Legal Services & Government,www.irwinmitchell.com,100,3,3,1.421338109
Legal Services & Government,www.expresssolicitors.co.uk,100,3,3,1.421338109
Legal Services & Government,www.enact.co.uk,100,3,3,1.421338109
Education & Training,www.youngdriver.eu,100,3,3,1.421338109
Education & Training,www.learndirect.com,100,3,3,1.421338109
Education & Training,www.learningpeople.com,100,3,3,1.421338109
Education & Training,www.nationalintensive.com,100,3,3,1.421338109
Education & Training,www.oneeducation.org.uk,100,3,3,1.421338109
Education & Training,www.passngo.com,100,3,3,1.421338109
Education & Training,www.virtual-college.co.uk,100,3,3,1.421338109
Electronics & Technology,backmarket.co.uk,100,3,3,1.421338109
Electronics & Technology,hotpointservice.co.uk,100,3,3,1.421338109
Electronics & Technology,belling.co.uk,100,3,3,1.421338109
Electronics & Technology,bopdj.com,100,3,3,1.421338109
Electronics & Technology,directvacuums.co.uk,100,3,3,1.421338109
Electronics & Technology,electricalworld.com,100,3,3,1.421338109
Electronics & Technology,giffgaff.com,100,3,3,1.421338109
Electronics & Technology,go-assist.co.uk,100,3,3,1.421338109
Education & Training,www.i-to-i.com,100,3,3,1.421338109
Education & Training,www.get-licensed.co.uk,100,3,3,1.421338109
Education & Training,www.citylit.ac.uk,100,3,3,1.421338109
Education & Training,trinitycollege.com,100,3,3,1.421338109
Education & Training,thettcgroup.com,100,3,3,1.421338109
Education & Training,theknowledgeacademy.com,100,3,3,1.421338109
Education & Training,reddrivingschool.com,100,3,3,1.421338109
Education & Training,passmefast.co.uk,100,3,3,1.421338109
Education & Training,oxbridgehomelearning.uk,100,3,3,1.421338109
Education & Training,kaplan.co.uk,100,3,3,1.421338109
Education & Training,icslearn.co.uk,100,3,3,1.421338109
Education & Training,freecoursesinengland.co.uk,100,3,3,1.421338109
Education & Training,e-careers.com,100,3,3,1.421338109
Education & Training,avadolearning.com,100,3,3,1.421338109
Construction & Manufacturing,zerowater.co.uk,100,3,3,1.421338109
Construction & Manufacturing,www.ukplanettools.co.uk,100,3,3,1.421338109
Construction & Manufacturing,www.toolden.co.uk,100,3,3,1.421338109
Electronics & Technology,gtech.co.uk,100,3,3,1.421338109
Electronics & Technology,hughes.co.uk,100,3,3,1.421338109
Construction & Manufacturing,www.littlegreene.com,100,3,3,1.421338109
Electronics & Technology,www.tayna.co.uk,100,3,3,1.421338109
Electronics & Technology,www.mrmemory.co.uk,100,3,3,1.421338109
Electronics & Technology,www.partmaster.co.uk,100,3,3,1.421338109
Electronics & Technology,www.petertyson.co.uk,100,3,3,1.421338109
Electronics & Technology,www.richersounds.com,100,3,3,1.421338109
Electronics & Technology,www.sevenoakssoundandvision.co.uk,100,3,3,1.421338109
Electronics & Technology,www.sonicdirect.co.uk,100,3,3,1.421338109
Electronics & Technology,www.vax.co.uk,100,3,3,1.421338109
Electronics & Technology,mobiletopup.co.uk,100,3,3,1.421338109
Events & Entertainment,dice.fm,100,3,3,1.421338109
Events & Entertainment,fanpass.co.uk,100,3,3,1.421338109
Events & Entertainment,omaze.co.uk,100,3,3,1.421338109
Events & Entertainment,seatunique.com,100,3,3,1.421338109
Events & Entertainment,stubhub.co.uk,100,3,3,1.421338109
Events & Entertainment,uk.match.com,100,3,3,1.421338109
Electronics & Technology,www.markselectrical.co.uk,100,3,3,1.421338109
Electronics & Technology,www.lcegroup.co.uk,100,3,3,1.421338109
Electronics & Technology,www.jessops.com,100,3,3,1.421338109
Electronics & Technology,www.idmobile.co.uk,100,3,3,1.421338109
Electronics & Technology,www.hivehome.com,100,3,3,1.421338109
Electronics & Technology,www.ghdhair.com,100,3,3,1.421338109
Electronics & Technology,www.espares.co.uk,100,3,3,1.421338109
Electronics & Technology,www.ebuyer.com,100,3,3,1.421338109
Electronics & Technology,www.dyson.co.uk,100,3,3,1.421338109
Electronics & Technology,www.currys.co.uk,100,3,3,1.421338109
Electronics & Technology,www.buyspares.co.uk,100,3,3,1.421338109
Electronics & Technology,www.appliancesdirect.co.uk,100,3,3,1.421338109
Electronics & Technology,www.appliancecity.co.uk,100,3,3,1.421338109
Electronics & Technology,uw.co.uk,100,3,3,1.421338109
Electronics & Technology,subcold.com,100,3,3,1.421338109
Electronics & Technology,sharkclean.co.uk,100,3,3,1.421338109
Electronics & Technology,ransomspares.co.uk,100,3,3,1.421338109
Construction & Manufacturing,www.powertoolmate.co.uk,100,3,3,1.421338109
Construction & Manufacturing,www.goffpetroleum.co.uk,100,3,3,1.421338109
Legal Services & Government,www.dclaw.co.uk,100,3,3,1.421338109
Beauty & Well-being,www.zipvit.co.uk,100,3,3,1.421338109
Beauty & Well-being,www.pureseoul.co.uk,100,3,3,1.421338109
Beauty & Well-being,www.sportpursuit.com,100,3,3,1.421338109
Beauty & Well-being,www.stressnomore.co.uk,100,3,3,1.421338109
Beauty & Well-being,www.superdrug.com,100,3,3,1.421338109
Beauty & Well-being,www.ukjuicers.com,100,3,3,1.421338109
Beauty & Well-being,www.yogamatters.com,100,3,3,1.421338109
Business Services,cef.co.uk,100,3,3,1.421338109
Business Services,somethingdifferentwholesale.co.uk,100,3,3,1.421338109
